SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,DaysSinceLast,IS_HOME_GAME,INJURY_SCORE
22018,1610612744,GSW,Golden State Warriors,0021800701,2019-01-21,GSW @ LAL,1,239,130,50,98,0.51,16,37,0.432,14,19,0.737,13,37,50,41,8,6,10,27,19.0,2018-19,3.0,0,-124.74000000000002
22018,1610612744,GSW,Golden State Warriors,0021800716,2019-01-24,GSW @ WAS,1,239,126,50,88,0.568,7,20,0.35,19,21,0.905,8,42,50,34,5,6,15,21,8.0,2018-19,3.0,0,-61.03
22018,1610612744,GSW,Golden State Warriors,0021800732,2019-01-26,GSW @ BOS,1,240,115,37,83,0.446,12,33,0.364,29,34,0.853,11,42,53,25,8,7,14,19,4.0,2018-19,2.0,0,22.869999999999997
22018,1610612744,GSW,Golden State Warriors,0021800745,2019-01-28,GSW @ IND,1,240,132,53,98,0.541,13,31,0.419,13,16,0.813,13,35,48,39,9,7,12,19,32.0,2018-19,2.0,0,23.909999999999997
22018,1610612744,GSW,Golden State Warriors,0021800768,2019-01-31,GSW vs. PHI,0,240,104,41,88,0.466,11,38,0.289,11,16,0.688,9,28,37,30,13,7,15,19,-9.0,2018-19,3.0,1,-123.56999999999998
22018,1610612744,GSW,Golden State Warriors,0021800782,2019-02-02,GSW vs. LAL,1,241,115,43,91,0.473,11,34,0.324,18,19,0.947,7,37,44,31,4,9,10,17,14.0,2018-19,2.0,1,-114.17999999999999
22018,1610612744,GSW,Golden State Warriors,0021800810,2019-02-06,GSW vs. SAS,1,242,141,55,95,0.579,16,34,0.471,15,21,0.714,14,38,52,42,14,5,11,20,39.0,2018-19,4.0,1,-117.54
22018,1610612744,GSW,Golden State Warriors,0021800822,2019-02-08,GSW @ PHX,1,241,117,41,81,0.506,10,29,0.345,25,35,0.714,9,40,49,30,5,9,18,23,10.0,2018-19,2.0,0,-25.44
22018,1610612744,GSW,Golden State Warriors,0021800838,2019-02-10,GSW vs. MIA,1,240,120,44,82,0.537,13,36,0.361,19,26,0.731,7,29,36,28,8,5,12,16,2.0,2018-19,2.0,1,9.060000000000002
22018,1610612744,GSW,Golden State Warriors,0021800852,2019-02-12,GSW vs. UTA,1,239,115,44,89,0.494,13,41,0.317,14,21,0.667,5,35,40,29,12,7,6,20,7.0,2018-19,2.0,1,0.6599999999999966
